[2025-02-05 15:08:37,350] 20 root -INFO -Initiate the data ingestion
[2025-02-05 15:08:40,033] 65 root -INFO -Performed train test split on the dataframe
[2025-02-05 15:08:40,033] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-05 15:08:40,033] 75 root -INFO -Exporting train and test file path.
[2025-02-05 15:08:40,118] 84 root -INFO -Exported train and test file path.
[2025-02-05 15:08:40,118] 22 root -INFO -Data Initiation Completed
[2025-02-05 15:08:40,128] 27 root -INFO -Initiate the data Validation
[2025-02-05 15:08:40,214] 32 root -INFO -Required number of columns:2
[2025-02-05 15:08:40,214] 33 root -INFO -Data frame has columns:31
[2025-02-05 15:08:40,214] 32 root -INFO -Required number of columns:2
[2025-02-05 15:08:40,319] 33 root -INFO -Data frame has columns:31
[2025-02-05 15:08:40,519] 29 root -INFO -data Validation Completed
[2025-02-05 15:08:40,519] 33 root -INFO -data Transformation started
[2025-02-05 15:08:40,519] 63 root -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-02-05 15:08:40,519] 65 root -INFO -Starting data transformation
[2025-02-05 15:08:40,564] 48 root -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-02-05 15:08:40,564] 53 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-02-05 15:08:40,696] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-02-05 15:08:40,700] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-02-05 15:08:40,700] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-02-05 15:08:40,703] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-02-05 15:08:40,705] 37 root -INFO -data Transformation completed
